Sentence,Important
" Researchers found that the deaths, known as Yunnan Sudden Death Syndrome, occurred almost always during rainy season (from June to August), and at an altitude of 1800-2400m (5900-7900ft).
 ",1.0
" ""We heard amazing stories about how people would drop dead in the middle of a conversation,"" Zhang Shu, a cardiologist who took part in the CDC study, told Science magazine.
 ",0.0
" ""About two-thirds of victims, in the hours before death experienced symptoms such as heart palpitations, nausea, dizziness, seizures and fatigue,"" he said.
 ",1.0
" The investigation was initially hampered by language barriers, and the remote locations of the Yunnan villages.
 ",0.0
" However, in 2008, the scientists noted that the Little White mushroom was often found in the homes where people had died.
 ",0.0
" Yunnan province is well-known for its wild mushrooms, many of which are exported at high prices.
 ",0.0
" Families, who make their living by collecting and selling the fungi, eat the Little White as it has no commercial value - it is too small and turns brown shortly after being picked.
 ",0.0
" A campaign to warn people against eating the tiny mushrooms has dramatically reduced the number of deaths.
 ",1.0
" There have been no reported deaths so far this year.
 ",0.0
" However, the scientists are carrying out further tests to find out why the mushroom is so lethal, as testing found the mushroom contained toxins, though not enough to be deadly.
 ",1.0
" ""What's happening in Yunnan isn't expected from any other mushroom toxin,"" said Robert Fontaine, a US epidemiologist who took part in the investigation.
 ",0.0
" ""What we have here is a toxin that is picking off vulnerable people,"" he told Science.
 ",0.0
" He suggested that the toxins could be acting together with high concentrations of barium, a heavy metal, in the local water supply.",0.0
" Researchers have discovered the skull of a 29 million-year-old animal that could be a common ancestor of Old World monkeys and apes, including humans.
 ",1.0
" It indicates that apes and Old World monkeys diverged millions of years later than previously thought, say the scientists.
 ",1.0
" The discovery was made in Saudi Arabia by researchers from the University of Michigan.
 ",1.0
" They described the primate, Saadanius hijazensis, in the journal Nature.
 ",0.0
" Dr William Sanders from the University of Michigan, who led the research, said this was ""an extraordinary find"".
 ",0.0
" The skull of this previously unknown species had some features that are shared by Old World monkeys and apes, including humans, today   ""Saadanius is close to a group that eventually led to us,"" said Dr Sanders.
 ",1.0
" apes and humans"".
 ",1.0
" Dr Sanders explained that Saadanius might even have been the common ancestor that linked humans to Old World Monkeys.
 ",0.0
" ""But there could have been a suite of creatures at the time that were very similar and one of them became our ancestor,"" he said.
 ",0.0
" ""We need to get out in the field and get more data before making bigger claims"".
 ",0.0
" The fossilised remains indicate that the primate looked very much like a modern new world monkey, such as a capuchin.
 ",0.0
" But it was probably slightly larger - about the size of a gibbon.
 ",0.0
" It would have used all four limbs to run around in the trees.
 ",0.0
" When resting, the scientists say, it probably lay in the trees rather than sitting upright on the ground.
 ",0.0
" The discovery suggests that the divergence of apes and Old World monkeys happened much later than the 30-35 million years ago that genetic studies have suggested.
 ",1.0
" The new date, of 29 million years ago, fits more closely with what the researchers would have expected and is not surprising from a palaeontological point of view.",0.0
" Iraqs military said it was closing in Friday on a former government compound in Ramadi that remains the only area of the city still under Islamic State control.
 ",1.0
" Iraqi forces were less than a mile from the compound where about 100 militants are holding out, the government said.
 ",1.0
" Though Iraqi troops greatly outnumber the Islamic State fighters, they have struggled to advance in a landscape dotted with land mines and improvised explosive devices.
 ",0.0
" Our preparations to attack the government compound are still on and we are approaching step by step, Brig.
 ",0.0
" Gen.
 ",0.0
" Ahmed al-Bilawi, commander of the Anbar province emergency police division, said Friday.
 ",0.0
" Iraqi forces backed by U.S-led airstrikes started a new push earlier this week to retake Ramadi, the provincial capital of Anbar about 60 miles west of the capital Baghdad.
 ",1.0
" Though Kurdish fighters and Iran-backed Shiite Muslim militias have led most victories against Islamic State in the country, most of the fighting in Ramadi has been done by Iraqi forces recently retrained and re-equipped by the U.S.   Iraqi and American military leaders see the battle for Ramadi as a testing ground for a future assault on Mosul, Iraqs second-largest city and the extremist groups de facto capital in the country.
 ",1.0
" But given the armys difficulties in Ramadi, any plans to retake the much-larger Mosul are expected to prove more challenging.
 ",1.0
" Islamic State fighters have had more than a year and a half to establish themselves in Mosul since storming the city in the summer of last year.
 ",0.0
" They have built defenses including land mines and possibly tunnels, tactics used in other cities recaptured from the group, while ruling over hundreds of thousands of civilians who could be used as human shields.
 ",0.0
" Civilians who remain trapped in Ramadi have posed a formidable challenge for both the Iraqi troops and their U.S. air support.
 ",0.0
" At least 120 families are trapped between Islamic State fighters and invading Iraqi soldiers in the eastern suburbs of Sejariya and Sofiya, said Mohamed al-Khozaee, a spokesman for the Iraqi Red Crescent Society.",0.0
" The Washington Post correspondent being held by the Iranian government for more than 500 days has been allowed a Christmas Day visit with his wife and mother.
 ",1.0
" The mother of Jason Rezaian says in an email to the newspaper that the visit lasted several hours Friday.
 ",1.0
" Mary Rezaian, his mother, and Rezaian's wife, Yeganeh Salehi, received permission for the visit from an Iranian court.
 ",1.0
" ""This is the first time in the year that I have been visiting him in Evin Prison that I could spend an extended time there and bring him his first home-cooked meal in months,"" Mary Rezaian said in her email.
 ",0.0
" ""We had a wonderful time together reminiscing of holidays past"".
 ",0.0
" Rezaian, 39, was born in California and holds both U.S. and Iranian citizenships.
 ",1.0
" He was convicted in closed proceedings earlier this year after being charged with espionage and related allegations.
 ",1.0
" The length of his sentence has not been disclosed publicly.
 ",0.0
" In a statement, Washington Post Executive Editor Martin Baron said he and Rezaian's colleagues were pleased that an extended visit had been allowed but described Rezaian's captivity as ""522 days of tragic, unjust imprisonment of a good, honorable and innocent man"".
 ",0.0
" ""We welcome this act of basic humanity, and we encourage his jailers in Iran to follow up by doing all that justice and decency require: Release Jason from prison and allow him a return to life as a free man who can spend time with his family where and whenever he pleases,"" Baron said.
 ",0.0
" Yeganeh Salehi, an Iranian citizen, is a correspondent for The National, a newspaper based in the United Arab Emirates.",0.0
" The hunt for the killer of a 19-year-old Mississippi woman who was burned alive last year has resulted in the arrests of 17 suspected gang members, authorities said this week, though none have been directly linked to the woman's death.
 ",1.0
" FBI officials announced the arrests Tuesday of suspected members of the Black Gangster Disciples, Vice Lords, and Sipp Mob street gangs, according to The Clarion-Ledger newspaper.
 ",0.0
" Officials told the paper the investigation, dubbed ""Operation Bite Back"", was focused on Panola County, in the northwest of the state, and was a byproduct of the investigation into the death of Jessica Chambers.
 ",0.0
" On the night of Dec.
 ",1.0
" 6, 2014, Chambers was doused with gasoline and set on fire in her car on a road in Courtland.
 ",1.0
" She was found on the road with burns over most of her body and later died at a hospital in Memphis.
 ",0.0
" Panola County Sheriff Dennis Darby told The Clarion-Ledger authorities have interviewed more than 150 people and sorted through 20,000 phone records in an effort to catch Chambers' killer.
 ",1.0
" Darby said the information that led to Tuesday's arrests was gathered as a result of those interviews.
 ",1.0
" The Clarion-Ledger reported that authorities have had difficulty finding a suspect or suspects in Chambers' murder due to a lack of street chatter about the crime.
 ",0.0
" The 17 suspects charged are between 18 and 40 years of age.
 ",0.0
" They are charged with crimes ranging from child endangerment and selling narcotics to possession of stolen firearms and possession of counterfeit currency.
 ",0.0
" ""It's taken eight or nine months, if not a little longer, to get to this point,"" Panola County District Attorney John Champion said.
 ",0.0
" ""And this is not over by any stretch of the imagination"".",0.0
" A Syrian insurgent group whose commander was assassinated by an airstrike near the Syrian capital has appointed a successor, vowing to continue fighting both the Syrian government and the Islamic State group.
 ",1.0
" The Army of Islam said it has appointed Essam al-Buwaydhani, a field commander known as Abu Hammam, as the new leader of the group.
 ",1.0
" He replaces Zahran Allouch, who was killed in the airstrike that targeted a meeting of rebel commanders in a Damascus suburb.
 ",1.0
" In a video posted on the Internet late Thursday, a spokesman for the Army of Islam said Allouch's killing ""will only increase our fight"" against the government of President Bashar Assad and the Islamic State group.
 ",0.0
" ""We are moving forth on the path, and we do not change or alter,"" the unidentified speaker said, reading from a statement.
 ",0.0
" Allouch's death a month before peace talks are scheduled to begin between the Syrian government and opposition rebel groups is a blow to insurgents fighting to topple President Bashar Assad and a boost to government forces who have been bolstered by the Russian military intervention in Syria in the past few months.
 ",0.0
" Syrian government forces have been on the offensive in several parts of the country since Russia began its military campaign in late September to shore up Assad's forces.
 ",0.0
" The Army of Islam took part earlier this month in an opposition meeting held in Saudi Arabia to agree on an opposition delegation that would negotiate with government representatives in peace talks planned for late January in Geneva.
 ",0.0
" The Syrian government has always said it will not negotiate with terrorists and considers the Army of Islam to be terrorists.
 ",0.0
" Allouch, who was in his mid-40s, was widely known to be supported by Saudi Arabia and Turkey.
 ",0.0
" He was one of the most powerful rebel commanders with thousands of fighters controlling large parts of the eastern Damascus suburbs of Eastern Ghouta and Douma.
 ",0.0
" In addition to fighting government forces, the Army of Islam faction fought pitched battles against its rival, the Islamic State group near Damascus.
 ",0.0
" A former prisoner who was released in a general amnesty after the uprising against Assad began in March 2011, Allouch joined the armed opposition and formed the Army of Islam  which became one of the most organized rebel factions in Syria.
 ",0.0
" Critics accused him of sectarian politics and brutal tactics similar to that of the Islamic State group.
 ",0.0
" He is blamed by other opposition groups for the December 2013 kidnapping of four prominent activists including human rights activist and lawyer Razan Zaytouni.
 ",0.0
" He denies holding them although they were kidnapped from an area under Army of Islam control.
 ",0.0
" The Syrian government claimed responsibility for killing Allouch in the airstrike on a meeting of rebel commanders near the Damascus suburb of Otaya.
 ",1.0
" It said that the strike was carried out after a series of aerial reconnaissance operations against groupings of ""terrorist"" organizations and their headquarters in the rebel-held Damascus suburb of Eastern Ghouta.
 ",1.0
" In addition to Allouch, it said the airstrike killed ""a large number of commanders of Ahrar al-Sham and Faylaq al-Rahman,"" other rebel factions who are often allied with the Army of Islam.
 ",0.0
 Several Syrian opposition activists blamed Russia for the assassination.,0.0
" A Maine landlord wants tossed a lawsuit filed by a retired Maine lobsterman who shot an intruder with a gun he bought less than a day earlier for protection against burglars.
 ",1.0
" The lawsuit had been filed last month by Harvey Lembo, 67.
 ",0.0
" He uses a wheelchair and says he armed himself after five burglaries in six years at his Rockland apartment complex.
 ",1.0
" Lembo bought an old gun on Aug.
 ",0.0
" 31 and the next day he shot and wounded a man he believed had broken into his apartment to steal prescription medication he uses for chronic pain, according to the Bangor Daily News.
 ",0.0
" Lembo went to court after getting a letter soon after the shooting that informed him that his gun violated house rules and that eviction proceedings could be initiated if he did not comply.
 ",1.0
" In his lawsuit, Lembo accuses his landlord, Park Place Associates of Rockland, of violating his right to own a gun.
 ",1.0
" He is also suing the management company.
 ",0.0
" Earlier this week lawyers for Park Place and the management company responded to the lawsuit.
 ",0.0
" They asked a state judge to throw out the case.
 ",0.0
" The lawyers argued that simple notification to Lembo that he could face an eviction if he did not follow house rules was insufficient to trigger the protection under the Second Amendment, the paper reported.
 ",1.0
" Threatening to evict Mr. Lembo for defending himself clearly violates his constitutional rights, NRA Maine State Liaison John Hohenwarter said last month after Lembo sued, the Daily News reported.
 ",0.0
" Self-defense is a fundamental, God-given right that belongs to every law-abiding American  no matter their tax bracket, zip code or street address.
 ",0.0
" Furthermore, Article 1 Section 16 of the Maine Constitution echoes this sentiment by stating: Every citizen has a right to keep and bear arms and this right shall never be questioned.
 ",1.0
"    Lembo used the gun to shoot Christopher Wildhaber, 46, of Rockland.
 ",1.0
" Wildhaber was shot in the shoulder.
 ",0.0
" Police nabbed him in nearby woods after he fled Lembos apartment.
 ",0.0
" Last week a grand jury indicted on charges of burglary, theft of medication, attempted theft and three cuonds of refusing to submit to arrest.
 ",1.0
" Hes being held at the Knox County Jail, the Daily News reported.",0.0
" Should those irreconcilable differences suddenly become reconcilable, don't go looking to get un-divorced in New Hampshire.
 ",1.0
" The state's Supreme Court this month upheld a lower court ruling refusing to vacate a New Castle couple's 2014 divorce after 24 years of marriage.
 ",0.0
" Terrie Harmon and her ex-husband, Thomas McCarron, argued on appeal that their divorce decree was erroneous because they mended fences and are a couple once more.
 ",0.0
" But the justices, in a unanimous ruling issued Dec.
 ",0.0
" 2, said the law specifically allows them to grant divorces -- not undo them.
 ",1.0
" Courts in some states -- including Illinois, Nebraska, Mississippi, Arkansas, Maryland and Kentucky -- will vacate divorces within a certain time frame or under certain circumstances, at the parties' request.
 ",0.0
" Others -- including New York and South Dakota -- maintain they, like New Hampshire, have no statutory authority to undo a divorce.
 ",0.0
" Attorney Joshua Gordon, appointed to defend the lower court's ruling, said allowing the couple's divorce to be undone could jeopardize the finality of all divorces.
 ",1.0
" ""Divorce is a uniquely fraught area of litigation,"" Gordon argued.
 ",0.0
" ""For divorced couples, it is often important to have the solace of knowing that their former spouse is indeed former"".
 ",0.0
" Harmon and McCarron did not return calls seeking the answer to the question: Why not just remarry?
 ",0.0
" They were married in 1989 and filed for divorce in January 2014; the divorce decree was finalized in July that same year.
 ",0.0
" In March, they filed a joint motion to vacate the decree.
 ",0.0
" New Hampshire law does allow for divorces to be set aside for reasons of fraud, accident, mistake or misfortune.
 ",0.0
" Gordon said that none of those circumstances happened in the Harmon-McCarron divorce and that any adverse financial consequences the couple claimed were ""self-imposed"".
 ",0.0
" He said it's his understanding they had several reasons for trying to vacate the decree.
 ",0.0
" ""I think it was partly sentimental, and partly that they had some business interests that a divorce and remarry would be more complicated than undoing the divorce,"" Gordon said.
 ",0.0
" Harmon, a lawyer, argued in court papers that a couple shouldn't have to show the decree was legally flawed if they reconcile.
 ",0.0
" She said that test is ""designed to balance the interests of adverse parties,"" not those who want to get back together.
 ",0.0
" Attorney Kysa Crusco, head of the family law section of the New Hampshire Bar Association, said Harmon's argument was ""creative"" but the law and prior New Hampshire rulings are clear.
 ",0.0
" ""People just have to be cautious in making sure divorce is what they really want,"" she said.
 ",0.0
" le, don't go looking to get un-divorced in New Hampshire.",0.0
" Fast-moving wildfires on Christmas day destroyed more than 100 homes in southern Australia.
 ",1.0
" Now, residents and officials in Victoria State are beginning to assess the scale of the damage and firefighters work to contain the still-raging fires.
 ",0.0
" Victoria State's Premier Daniel Andrews told the BBC that the scale of the damage is not yet clear.
 ",0.0
" ""Today's really assessment day,"" he says, including ""assessing damage to property, the safety of roads, power, water, environmental issues"".
 ",0.0
" This fire was caused by a lighting strike, The Associated Press reported, and caused thousands to flee their homes on Christmas say.
 ",0.0
" An aerial video from Australia's ABC news gives a sense of the damage to these communities southwest of Melbourne, showing charred homes and mangled debris on coastal hillsides.
 ",0.0
" ABC reports that the fire destroyed 116 properties on Victoria's Great Ocean Road, most of which were holiday homes.
 ",1.0
" ""The Insurance Council of Australia estimates the losses to be worth $38 million [27.
 ",0.0
" and it is expected that the number will increase as claims are made,"" ABC reported.
 ",0.0
" The Australian government will provide grants of $1,300 to people who have lost or are unable to access their homes, ABC says.
 ",0.0
" The fire is not yet under control, ABC reported.
 ",1.0
" """"It's been an exceptionally dry year with the El Nino event, and the worst fire conditions will probably be seen in January and February, and that's why we're working really hard to consolidate this fire now,"" firefighter Mark Gunning told ABC.",0.0
